1766 東証1部 東建コーポレーション(株)（建設業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","13520","13580","13220","13340","78500","13340"
"2018-01-05","13380","13580","13310","13510","63000","13510"
"2018-01-09","13600","13650","13430","13480","49600","13480"
"2018-01-10","13480","13480","13310","13350","44000","13350"
"2018-01-11","13390","13480","13280","13480","52700","13480"
"2018-01-12","13390","13410","13260","13280","40500","13280"
"2018-01-15","13320","13530","13320","13400","39000","13400"
"2018-01-16","13400","13500","13310","13500","24000","13500"
"2018-01-17","13520","13840","13490","13740","70300","13740"
"2018-01-18","13830","13850","13570","13570","51400","13570"
"2018-01-19","13460","13720","13460","13500","55700","13500"
"2018-01-22","13420","13440","13310","13360","42900","13360"
"2018-01-23","13360","13510","13340","13430","55700","13430"
"2018-01-24","13440","13570","13360","13430","64300","13430"
"2018-01-25","13380","13570","13360","13450","57700","13450"
"2018-01-26","13430","13520","13240","13240","62200","13240"
"2018-01-29","13270","13330","13020","13030","55900","13030"
"2018-01-30","13000","13000","12660","12690","82100","12690"
"2018-01-31","12610","12800","12540","12540","64900","12540"
"2018-02-01","12590","12630","12490","12620","65700","12620"
"2018-02-02","12500","12790","12320","12780","86000","12780"
"2018-02-05","12600","12670","12280","12310","55800","12310"
"2018-02-06","11930","11970","11240","11530","89700","11530"
"2018-02-07","11830","12050","11580","11580","72800","11580"
"2018-02-08","11680","11880","11600","11810","62700","11810"
"2018-02-09","11370","11540","11330","11530","59400","11530"
"2018-02-13","11640","11740","11320","11340","59500","11340"
"2018-02-14","11450","11730","11360","11460","67300","11460"
"2018-02-15","11560","11590","11330","11460","54500","11460"
"2018-02-16","11660","11870","11610","11850","52900","11850"
"2018-02-19","11960","12040","11870","12040","30900","12040"
"2018-02-20","12030","12030","11830","11930","30300","11930"
"2018-02-21","11960","12170","11900","12020","38700","12020"
"2018-02-22","12010","12070","11870","12000","36300","12000"
"2018-02-23","12030","12120","11920","12030","43800","12030"
"2018-02-26","12130","12220","12030","12110","41800","12110"
"2018-02-27","12200","12240","12040","12180","35000","12180"
"2018-02-28","12130","12300","12100","12100","44400","12100"
"2018-03-01","12010","12010","11700","11750","67400","11750"
"2018-03-02","11550","11700","11510","11610","61500","11610"
"2018-03-05","11600","11640","11430","11480","50700","11480"
"2018-03-06","11650","11820","11570","11710","44300","11710"
"2018-03-07","11530","11710","11420","11560","36000","11560"
"2018-03-08","11540","11730","11520","11570","29100","11570"
"2018-03-09","11640","11790","11470","11520","40400","11520"
"2018-03-12","11760","11900","11640","11770","40700","11770"
"2018-03-13","11640","11740","11460","11570","54700","11570"
"2018-03-14","11270","11520","10350","10440","209100","10440"
"2018-03-15","10400","10860","10400","10720","113700","10720"
"2018-03-16","10670","10850","10460","10480","72300","10480"
"2018-03-19","10420","10610","10330","10370","55700","10370"
"2018-03-20","10310","10470","10240","10420","49400","10420"
"2018-03-22","10360","10620","10360","10600","56800","10600"
"2018-03-23","10200","10290","10110","10120","71300","10120"
"2018-03-26","10020","10150","9920","10150","62400","10150"
"2018-03-27","10360","10400","10250","10400","48800","10400"
"2018-03-28","10210","10520","10120","10490","49200","10490"
"2018-03-29","10610","10660","10370","10530","44100","10530"
"2018-03-30","10620","10720","10480","10710","51200","10710"
"2018-04-02","10840","10840","10580","10590","41200","10590"
"2018-04-03","10420","10840","10410","10780","63600","10780"
"2018-04-04","10740","10860","10660","10770","64400","10770"
"2018-04-05","10830","10890","10640","10830","63000","10830"
"2018-04-06","10900","11150","10830","10910","101300","10910"
"2018-04-09","10880","10950","10720","10870","61700","10870"
"2018-04-10","10880","10930","10800","10860","36300","10860"
"2018-04-11","10920","10920","10690","10730","53600","10730"
"2018-04-12","10720","10840","10710","10740","55600","10740"
"2018-04-13","10770","10850","10680","10750","58800","10750"
"2018-04-16","10770","10890","10710","10870","62600","10870"
"2018-04-17","10880","10960","10740","10750","75700","10750"
"2018-04-18","10790","11000","10790","10960","61500","10960"
"2018-04-19","11000","11120","10910","10960","74300","10960"
"2018-04-20","10940","11010","10890","10920","91400","10920"
"2018-04-23","10900","10920","10700","10780","183200","10780"
"2018-04-24","10700","11040","10660","11000","297000","11000"
"2018-04-25","10720","10790","10290","10320","213600","10320"
"2018-04-26","10400","10530","10360","10490","82900","10490"
"2018-04-27","10550","10570","10340","10470","53200","10470"
"2018-05-01","10500","10560","10400","10530","51300","10530"
"2018-05-02","10510","10570","10350","10540","58900","10540"
"2018-05-07","10600","10920","10520","10900","95900","10900"
"2018-05-08","10900","10910","10730","10800","34500","10800"
"2018-05-09","10780","10860","10700","10730","35100","10730"
"2018-05-10","10770","10770","10570","10620","35500","10620"
"2018-05-11","10560","10870","10530","10850","53200","10850"
"2018-05-14","10830","10840","10700","10830","30800","10830"
"2018-05-15","10830","10910","10760","10820","30800","10820"
"2018-05-16","10740","10820","10670","10750","37400","10750"
"2018-05-17","10840","10860","10750","10800","31500","10800"
"2018-05-18","10800","10800","10680","10730","34600","10730"
"2018-05-21","10730","10800","10650","10790","33700","10790"
"2018-05-22","10770","10780","10670","10710","19600","10710"
"2018-05-23","10600","10690","10520","10680","45700","10680"
"2018-05-24","10680","10680","10520","10580","27300","10580"
"2018-05-25","10490","10490","10300","10450","55800","10450"
"2018-05-28","10450","10760","10430","10750","58200","10750"
"2018-05-29","10770","10770","10510","10610","27900","10610"
"2018-05-30","10480","10590","10330","10480","36200","10480"
"2018-05-31","10500","10540","10380","10380","41500","10380"
"2018-06-01","10360","10480","10350","10430","33100","10430"
"2018-06-04","10520","10600","10470","10530","41900","10530"
"2018-06-05","10600","10670","10460","10520","34300","10520"
"2018-06-06","10510","10520","10330","10380","46800","10380"
"2018-06-07","10400","10400","10230","10280","45700","10280"
"2018-06-08","10260","10330","10190","10190","47900","10190"
"2018-06-11","10200","10420","10180","10300","57100","10300"
"2018-06-12","10300","10380","10200","10310","39900","10310"
"2018-06-13","10260","10360","10130","10320","58500","10320"
"2018-06-14","10130","10700","10030","10030","146900","10030"
"2018-06-15","10110","10110","9790","9820","75200","9820"
"2018-06-18","9810","10120","9790","9890","75300","9890"
"2018-06-19","9840","9950","9810","9920","50600","9920"
"2018-06-20","9930","9960","9730","9890","63000","9890"
"2018-06-21","9810","9930","9780","9860","51900","9860"
"2018-06-22","9780","9940","9780","9890","36800","9890"
"2018-06-25","9830","9850","9750","9770","45900","9770"
"2018-06-26","9670","9740","9570","9700","41600","9700"
"2018-06-27","9660","9850","9590","9770","38700","9770"
"2018-06-28","9660","9820","9620","9810","40300","9810"
"2018-06-29","9810","9890","9680","9780","40000","9780"
"2018-07-02","9670","9690","9370","9380","52500","9380"
"2018-07-03","9290","9350","8800","8840","114600","8840"
"2018-07-04","8700","8770","8560","8590","97700","8590"
"2018-07-04","8700","8770","8560","8590","97700","8590"
