"response time","correct response","answered response",
"2538","n","n",
"1770","y","y",
"21433","y","y",
"993","n","n",
"873","y","y",
"1362","y","y",
"889","n","n",
"1234","n","n",
"3138","y","y",
"1222","y","y",
"1449","n","n",
"1308","y","y",
"1776","y","y",
"836","n","n",
"891","n","n",
"1178","n","n",
"1675","y","y",
"1705","n","n",
"1299","y","y",
"1171","n","n",
"964","y","y",
"1055","n","n",
"1016","n","n",
"1050","y","y",
"1625","n","n",
"1355","y","y",
"2150","y","y",
"1158","n","n",
"1901","y","y",
"1674","n","n",
"1012","y","y",
"977","n","n",
"1530","y","y",
"784","n","n",
"1026","n","n",
"712","n","n",
"744","y","y",
"915","y","y",
"4253","y","y",
"748","n","n",
"6734","y","n",
"3640","y","n",
"11062","n","n",
"11505","n","n",
"4160","n","n",
"13340","y","n",
"10935","y","n",
"4148","n","n",
"1658","y","y",
"775","y","n",
"913","n","n",
"825","y","y",
"982","y","y",
"757","n","n",
"900","n","y",
"1827","n","n",
"1689","n","n",
"1225","y","y",
"918","y","y",
"598","y","y",
"624","n","n",
"594","y","y",
"623","n","n",
"686","n","n",
"2603","y","y",
"1896","n","n",
"1284","n","n",
"892","y","y",
"947","y","y",
"20451","y","y",
"1463","n","n",
"915","n","n",
"1918","y","y",
"1128","y","y",
"2188","n","n",
"1870","n","n",
"1078","y","y",
"1068","n","n",
"808","n","n",
"869","y","n",
"3868","n","n",
"2413","y","y",
"1913","y","y",
"2224","n","n",
"1421","y","y",
"3529","n","n",
"4077","y","n",
"980","n","n",
"2831","n","n",
"1259","n","n",
"879","y","y",
"738","n","n",
"1114","y","n",
"898","n","n",
"740","y","y",
"1235","y","y",
"2260","y","y",
"1050","y","n",
"845","n","n",
"813","n","n",
"779","y","n",
"1858","n","n",
"813","y","y",
"772","n","n",
"1873","n","n",
"963","y","n",
"811","n","n",
"827","n","n",
"1285","y","y",
"1210","n","n",
"1273","y","y",
"1302","y","y",
"6213","n","n",
"1618","y","y",
"2330","n","n",
"1152","y","y",
"940","n","n",
"779","y","y",
"1478","n","n",
"816","y","y",
"2328","n","n",
"3327","y","y",
"1342","n","n",
"1546","n","n",
"1134","y","y",
"1117","y","y",
"1076","y","y",
"902","n","n",
"1166","y","y",
"1069","y","y",
"903","n","n",
"943","n","n",
"955","n","n",
"915","y","y",
"1004","n","n",
"1939","y","y",
"4034","n","n",
"1948","n","n",
"1212","n","n",
"1310","y","y",
"1743","y","y",
"1825","y","y",
"1225","n","n",
"1765","y","n",
"1648","y","y",
"1456","y","y",
"584","y","y",
"900","y","n",
"693","n","n",
"781","n","n",
"759","n","n",
"845","n","n",
"1675","y","y",
"1367","n","n",
"1301","n","n",
"1105","y","y",
"1088","y","y",
"1104","n","n",
"1580","y","n",
"1449","n","n",
"2869","n","n",
"2165","y","y",
"1110","n","n",
"889","n","n",
"744","y","y",
"872","y","y",
"762","n","n",
"639","y","y",
"1958","y","y",
"2086","n","n",
"1260","n","n",
"958","n","n",
"1040","y","y",
"622","y","n",
"1190","n","n",
"1166","y","n",
"1419","y","y",
"1121","n","n",
"1233","n","n",
"1152","n","n",
"1046","y","y",
"1173","y","y",
"950","n","n",
"4034","y","y",
"2067","y","y",
"2229","n","n",
"1390","n","n",
"1275","y","y",
"1059","n","n",
"5276","y","n",
"935","y","y",
"1008","n","n",
"6304","n","n",
"1837","y","y",
"1685","n","n",
"897","y","y",
"882","n","n",
"808","y","y",
"784","n","n",
"1439","y","y",
"1396","n","n",
"1162","n","n",
"1251","y","y",
"1427","y","y",
"1672","n","n",
"1832","y","y",
"845","n","n",
"840","y","y",
"3107","n","n",
"1882","n","n",
"3139","y","n",
"1396","y","y",
"1147","y","y",
"1542","n","n",
"1670","n","n",
"1056","y","y",
"2279","n","n",
"1339","n","n",
"1593","y","y",
"1012","y","y",
"1001","n","n",
"2818","y","y",
"1054","y","y",
"820","n","n",
"15163","n","n",
"1532","y","y",
"1196","n","n",
"2086","y","y",
"2632","n","n",
"975","y","y",
"1660","n","n",
"2181","y","y",
"3691","y","y",
"2119","n","n",
"1998","n","n",
"1794","y","n",
"1677","y","y",
"1407","n","n",
"1788","n","n",
"1752","y","y",
"1242","n","n",
"947","y","y",
"2418","y","y",
"838","n","n",
"1448","y","y",
"1162","n","n",
"3390","y","n",
"982","n","n",
"9860","y","y",
"3563","y","y",
"1245","n","n",
"1085","y","n",
"1713","n","n",
"1165","n","n",
"841","n","n",
"1043","y","y",
"16716","n","n",
"1606","y","y",
"1052","n","n",
"2446","n","y",
"931","y","n",
"1151","y","n",
"846","n","y",
"1422","y","n",
"1999","n","n",
"1217","n","n",
"1150","n","n",
"711","y","n",
"1037","y","y",
"821","n","n",
"787","y","y",
"799","y","y",
"1896","n","n",
"929","n","n",
"6970","y","y",
"1226","y","y",
"782","y","y",
"766","n","n",
"975","y","y",
"2468","n","n",
"2912","y","n",
"1344","y","y",
"1152","n","n",
"1467","n","n",
"1145","n","n",
"2799","n","n",
"1369","y","y",
"1533","y","y",
"2167","n","n",
"1316","y","y",
"1005","n","n",
"2967","y","n",
"1681","n","n",
"1541","n","n",
"1626","y","y",
"998","y","y",
"2932","y","n",
"4690","n","n",
"3530","n","n",
"11875","n","n",
"1785","y","n",
"1050","y","n",
"780","n","n",
"710","y","n",
"11343","y","y",
"1814","n","n",
"1648","n","n",
"946","n","n",
"1755","n","n",
"1003","y","y",
"896","y","y",
"1461","y","n",
"1367","n","n",
"1590","n","n",
"983","y","n",
"750","y","n",
"1340","n","n",
"818","y","n",
"900","y","n",
"758","n","n",
