年月,建設工事受注 (%),1であれば速報値
2013-06-01,21.9,0
2013-07-01,13.7,0
2013-08-01,21.4,0
2013-09-01,89.8,0
2013-10-01,61.1,0
2013-11-01,2.2,0
2013-12-01,4.9,0
2014-01-01,15.2,0
2014-02-01,12.3,0
2014-03-01,-8.8,0
2014-04-01,104.9,0
2014-05-01,13.7,0
2014-06-01,9.3,0
2014-07-01,24.4,0
2014-08-01,8.6,0
2014-09-01,-40.3,0
2014-10-01,15.7,0
2014-11-01,16.9,0
2014-12-01,7.5,0
2015-01-01,27.5,0
2015-02-01,1.0,0
2015-03-01,10.8,0
2015-04-01,-12.1,0
2015-05-01,-7.4,0
2015-06-01,15.4,0
2015-07-01,-4.0,0
2015-08-01,-15.6,0
2015-09-01,6.7,0
2015-10-01,-25.2,0
2015-11-01,5.7,0
2015-12-01,14.8,0
2016-01-01,-13.8,0
2016-02-01,-12.4,0
2016-03-01,19.8,0
2016-04-01,-16.9,0
2016-05-01,34.5,0
2016-06-01,-2.4,0
2016-07-01,-10.9,0
2016-08-01,13.8,0
2016-09-01,16.3,0
2016-10-01,15.2,0
2016-11-01,-6.0,0
2016-12-01,7.1,0
2017-01-01,1.1,0
2017-02-01,5.7,0
2017-03-01,1.1,0
2017-04-01,-0.2,0
2017-05-01,-0.5,0
2017-06-01,2.3,0
2017-07-01,14.9,0
2017-08-01,-10.6,0
2017-09-01,-11.6,0
2017-10-01,6.7,0
2017-11-01,20.5,0
2017-12-01,-8.1,0
2018-01-01,0.9,0
2018-02-01,19.2,0
2018-03-01,-4.0,0
2018-04-01,4.0,0
2018-05-01,-18.7,0
