id,年,月,日,時,気温,降水量,日照時間
0,2018,1,1,1,1.5,0.0,0.0
1,2018,1,1,2,1.0,0.0,0.0
2,2018,1,1,3,1.2,0.0,0.0
3,2018,1,1,4,0.6,0.0,0.0
4,2018,1,1,5,1.9,0.0,0.0
5,2018,1,1,6,1.6,0.0,0.0
6,2018,1,1,7,1.5,0.0,0.0
7,2018,1,1,8,2.7,0.0,0.5
8,2018,1,1,9,5.5,0.0,1.0
9,2018,1,1,10,8.1,0.0,1.0
10,2018,1,1,11,10.8,0.0,1.0
11,2018,1,1,12,12.2,0.0,1.0
12,2018,1,1,13,12.3,0.0,1.0
13,2018,1,1,14,12.4,0.0,1.0
14,2018,1,1,15,11.7,0.0,1.0
15,2018,1,1,16,10.5,0.0,0.6
16,2018,1,1,17,9.3,0.0,0.3
17,2018,1,1,18,8.0,0.0,0.0
18,2018,1,1,19,7.3,0.0,0.0
19,2018,1,1,20,6.7,0.0,0.0
20,2018,1,1,21,6.0,0.0,0.0
21,2018,1,1,22,5.9,0.0,0.0
22,2018,1,1,23,5.3,0.0,0.0
23,2018,1,1,24,3.8,0.0,0.0
24,2018,1,2,1,5.0,0.0,0.0
25,2018,1,2,2,5.6,0.0,0.0
26,2018,1,2,3,5.8,0.0,0.0
27,2018,1,2,4,5.3,0.0,0.0
28,2018,1,2,5,4.0,0.0,0.0
29,2018,1,2,6,1.3,0.0,0.0
30,2018,1,2,7,3.0,0.0,0.0
31,2018,1,2,8,5.6,0.0,0.5
32,2018,1,2,9,7.3,0.0,1.0
33,2018,1,2,10,8.2,0.0,1.0
34,2018,1,2,11,9.1,0.0,1.0
35,2018,1,2,12,10.0,0.0,1.0
36,2018,1,2,13,10.1,0.0,1.0
37,2018,1,2,14,9.9,0.0,1.0
38,2018,1,2,15,9.1,0.0,1.0
39,2018,1,2,16,8.0,0.0,1.0
40,2018,1,2,17,7.6,0.0,0.4
41,2018,1,2,18,4.9,0.0,0.0
42,2018,1,2,19,3.9,0.0,0.0
43,2018,1,2,20,4.1,0.0,0.0
44,2018,1,2,21,4.8,0.0,0.0
45,2018,1,2,22,4.3,0.0,0.0
46,2018,1,2,23,4.7,0.0,0.0
47,2018,1,2,24,4.9,0.0,0.0
48,2018,1,3,1,5.2,0.0,0.0
49,2018,1,3,2,4.9,0.0,0.0
50,2018,1,3,3,4.5,0.0,0.0
51,2018,1,3,4,3.8,0.0,0.0
52,2018,1,3,5,3.7,0.0,0.0
53,2018,1,3,6,2.9,0.0,0.0
54,2018,1,3,7,3.1,0.0,0.0
55,2018,1,3,8,3.0,0.0,0.5
56,2018,1,3,9,4.5,0.0,1.0
57,2018,1,3,10,6.3,0.0,1.0
58,2018,1,3,11,7.7,0.0,1.0
59,2018,1,3,12,7.5,0.0,1.0
60,2018,1,3,13,7.9,0.0,1.0
61,2018,1,3,14,7.6,0.0,1.0
62,2018,1,3,15,7.3,0.0,1.0
63,2018,1,3,16,6.4,0.0,1.0
64,2018,1,3,17,5.4,0.0,0.4
65,2018,1,3,18,4.7,0.0,0.0
66,2018,1,3,19,4.2,0.0,0.0
67,2018,1,3,20,3.6,0.0,0.0
68,2018,1,3,21,3.3,0.0,0.0
69,2018,1,3,22,3.0,0.0,0.0
70,2018,1,3,23,3.7,0.0,0.0
71,2018,1,3,24,3.8,0.0,0.0
72,2018,1,4,1,4.0,0.0,0.0
73,2018,1,4,2,2.5,0.0,0.0
74,2018,1,4,3,1.1,0.0,0.0
75,2018,1,4,4,2.2,0.0,0.0
76,2018,1,4,5,1.5,0.0,0.0
77,2018,1,4,6,0.5,0.0,0.0
78,2018,1,4,7,0.6,0.0,0.0
79,2018,1,4,8,3.4,0.0,0.5
80,2018,1,4,9,5.6,0.0,1.0
81,2018,1,4,10,7.3,0.0,1.0
82,2018,1,4,11,8.4,0.0,1.0
83,2018,1,4,12,8.6,0.0,1.0
84,2018,1,4,13,9.1,0.0,1.0
85,2018,1,4,14,8.7,0.0,1.0
86,2018,1,4,15,8.2,0.0,1.0
87,2018,1,4,16,7.1,0.0,1.0
88,2018,1,4,17,5.9,0.0,0.3
89,2018,1,4,18,5.6,0.0,0.0
90,2018,1,4,19,4.5,0.0,0.0
91,2018,1,4,20,4.2,0.0,0.0
92,2018,1,4,21,4.3,0.0,0.0
93,2018,1,4,22,3.0,0.0,0.0
94,2018,1,4,23,2.5,0.0,0.0
95,2018,1,4,24,2.9,0.0,0.0
96,2018,1,5,1,3.0,0.0,0.0
97,2018,1,5,2,3.6,0.0,0.0
98,2018,1,5,3,2.3,0.0,0.0
99,2018,1,5,4,2.2,0.0,0.0
100,2018,1,5,5,2.3,0.0,0.0
101,2018,1,5,6,2.5,0.0,0.0
102,2018,1,5,7,2.3,0.0,0.0
103,2018,1,5,8,2.8,0.0,0.0
104,2018,1,5,9,3.5,0.0,0.0
105,2018,1,5,10,4.2,0.0,0.0
106,2018,1,5,11,5.2,0.0,0.1
107,2018,1,5,12,5.5,0.0,0.0
108,2018,1,5,13,5.6,0.0,0.0
109,2018,1,5,14,5.5,0.0,0.0
110,2018,1,5,15,5.5,0.0,0.0
111,2018,1,5,16,5.2,0.0,0.0
112,2018,1,5,17,4.9,0.0,0.0
113,2018,1,5,18,4.7,0.0,0.0
114,2018,1,5,19,4.2,0.0,0.0
115,2018,1,5,20,4.5,0.0,0.0
116,2018,1,5,21,3.6,0.0,0.0
117,2018,1,5,22,2.8,0.0,0.0
118,2018,1,5,23,1.7,0.0,0.0
119,2018,1,5,24,0.9,0.0,0.0
120,2018,1,6,1,1.6,0.0,0.0
121,2018,1,6,2,1.7,0.0,0.0
122,2018,1,6,3,0.1,0.0,0.0
123,2018,1,6,4,0.8,0.0,0.0
124,2018,1,6,5,-0.6,0.0,0.0
125,2018,1,6,6,-1.3,0.0,0.0
126,2018,1,6,7,-1.1,0.0,0.0
127,2018,1,6,8,0.2,0.0,0.1
128,2018,1,6,9,4.4,0.0,1.0
129,2018,1,6,10,7.1,0.0,1.0
130,2018,1,6,11,8.2,0.0,1.0
131,2018,1,6,12,8.8,0.0,1.0
132,2018,1,6,13,9.9,0.0,1.0
133,2018,1,6,14,9.9,0.0,1.0
134,2018,1,6,15,9.2,0.0,1.0
135,2018,1,6,16,9.2,0.0,1.0
136,2018,1,6,17,6.4,0.0,0.4
137,2018,1,6,18,5.4,0.0,0.0
138,2018,1,6,19,4.7,0.0,0.0
139,2018,1,6,20,6.6,0.0,0.0
140,2018,1,6,21,6.2,0.0,0.0
141,2018,1,6,22,5.2,0.0,0.0
142,2018,1,6,23,4.6,0.0,0.0
143,2018,1,6,24,4.3,0.0,0.0
144,2018,1,7,1,4.9,0.0,0.0
145,2018,1,7,2,4.6,0.0,0.0
146,2018,1,7,3,3.5,0.0,0.0
147,2018,1,7,4,2.3,0.0,0.0
148,2018,1,7,5,2.0,0.0,0.0
149,2018,1,7,6,2.7,0.0,0.0
150,2018,1,7,7,3.6,0.0,0.0
151,2018,1,7,8,4.1,0.0,0.4
152,2018,1,7,9,6.7,0.0,1.0
153,2018,1,7,10,8.3,0.0,1.0
